Subject	Session	Trial	Trial_Iteration	Trial_Start	Trial_End	Left_Object	Left_Probability	Left_Show	LeftBox_Look	LeftObj_Look	LeftLid_Look	Right_Object	Right_Probability	Right_Show	RightBox_Look	RightObj_Look	RightLid_Look
		0	0	1496855536.298524	1496855537.587401	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.615657	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.64233	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.67334	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.705763	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.734486	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.763038	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.79066	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.820754	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.849297	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.878587	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.907657	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.935548	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
		0	0	1496855536.298524	1496855537.975055	../../kelpy/stimuli/boximages/12.jpg	0.25	False	False	False	False	../../kelpy/stimuli/boximages/13.jpg	0.5	False	False	False	False
