Subject	Session	Trial	Trial_Iteration	Trial_Start	Trial_End	Left_Object	Left_Probability	Left_Show	LeftBox_Look	LeftObj_Look	LeftLid_Look	Right_Object	Right_Probability	Right_Show	RightBox_Look	RightObj_Look	RightLid_Look
		0	0	1496845624.081839	1496845624.165473	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.165772	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.166031	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.166299	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.166501	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.20201	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.237655	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.265574	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.320183	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.420611	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.487522	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.554434	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.621699	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.70057	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.733568	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
		0	0	1496845624.081839	1496845624.768405	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/firetruck.png	0.5	True	False	False	False	/Users/jennaregister/Libraries/kelpy/kelpy/stimuli/misc/gears.png	0.75	True	False	False	False
