[3.0815019607543945, '0']
[3.0945849418640137, '0']
[3.1075921058654785, '0']
[3.121166944503784, '0']
[3.1376919746398926, '0']
[3.1539270877838135, '0']
[3.204878091812134, '0']
[3.254833936691284, '0']
[3.3071439266204834, '0']
[3.359143018722534, '0']
[3.4066050052642822, '0']
[3.460922956466675, '0']
[3.509958028793335, '0']
[3.5601799488067627, '0']
[3.610988140106201, '0']
[3.6613850593566895, '0']
[3.733515977859497, '0']
[3.7506561279296875, '0']
[3.7749719619750977, '0']
[3.83205509185791, '0']
[3.883204936981201, '0']
[3.8969380855560303, '0']
[3.951667070388794, '0']
[3.9660589694976807, '0']
[3.983992099761963, '0']
[4.035017013549805, '0']
[4.050408124923706, '0']
[4.101886987686157, '0']
[4.116044044494629, '0']
[4.184031009674072, '0']
[4.251964092254639, '0']
[4.319852113723755, '0']
[4.367808103561401, '0']
[4.416449069976807, '0']
[4.467261075973511, '0']
[4.518187046051025, '0']
[4.568414926528931, '0']
[4.585638046264648, '0']
[4.644243001937866, '0']
[4.668493032455444, '0']
[4.726787090301514, '0']
[4.7563090324401855, '0']
[4.771176099777222, '0']
[4.834610939025879, '0']
[4.85206413269043, '0']
[4.904515027999878, '0']
[4.918301105499268, '0']
[4.968261003494263, '0']
[5.024312973022461, '0']
[5.073883056640625, '0']
[5.123484134674072, '0']
[5.171436071395874, '0']
[5.221540927886963, '0']
[5.271636962890625, '0']
[5.321187973022461, '0']
[5.371856927871704, '0']
[5.422159910202026, '0']
[5.473071098327637, '0']
[5.523277997970581, '0']
[5.573825120925903, '0']
[5.633920907974243, '0']
[5.693680047988892, '0']
[5.739902019500732, '0']
[5.793587923049927, '0']
[5.84415602684021, '0']
[5.894928932189941, '0']
[5.942007064819336, '0']
[5.9912989139556885, '0']
[6.046875953674316, '0']
[6.0934789180755615, '0']
[6.143167018890381, '0']
[6.192843914031982, '0']
[6.2460761070251465, '0']
[6.291701078414917, '0']
[6.3433520793914795, '0']
[6.396345138549805, '0']
[6.445130109786987, '0']
[6.494444131851196, '0']
[6.5443949699401855, '0']
[6.595010042190552, '0']
[6.665087938308716, '0']
[6.711565017700195, '0']
[6.765703916549683, '0']
[6.81194806098938, '0']
[6.866879940032959, '0']
[6.913620948791504, '0']
[6.963634967803955, '0']
[7.016891002655029, '0']
[7.062994956970215, '0']
[7.117506980895996, '0']
[7.163969993591309, '0']
[7.218276023864746, '0']
[7.265253067016602, '0']
[7.315666913986206, '0']
[7.36664605140686, '0']
[7.418154954910278, '0']
[7.4651710987091064, '0']
[7.5155029296875, '0']
[7.569879055023193, '0']
[7.617053985595703, '0']
[7.666891098022461, '0']
[7.71804404258728, '0']
[7.767509937286377, '0']
[7.820889949798584, '0']
[7.867614030838013, '0']
[7.922945976257324, '0']
[7.9696879386901855, '0']
