[3.50058913230896, '1']
[3.5134871006011963, '1']
[3.526492118835449, '1']
[3.540477991104126, '1']
[3.559415102005005, '1']
[3.609565019607544, '1']
[3.660412073135376, '1']
[3.712718963623047, '1']
[3.7565090656280518, '1']
[3.794796943664551, '1']
[3.8435330390930176, '1']
[3.8902621269226074, '1']
[3.931112051010132, '1']
[3.9752559661865234, '1']
[4.0142951011657715, '1']
[4.06191611289978, '1']
[4.114372968673706, '1']
[4.158785104751587, '1']
[4.196280002593994, '1']
[4.267385959625244, '1']
[4.283034086227417, '1']
[4.304383039474487, '1']
[4.3663671016693115, '1']
[4.417699098587036, '1']
[4.434916973114014, '1']
[4.50139307975769, '1']
[4.519384145736694, '1']
[4.536590099334717, '1']
[4.601081132888794, '1']
[4.621747970581055, '1']
[4.672230958938599, '1']
[4.6886069774627686, '1']
[4.750936985015869, '1']
[4.772244930267334, '1']
[4.818804025650024, '1']
[4.838420152664185, '1']
[4.8849029541015625, '1']
[4.95183801651001, '1']
[5.0195019245147705, '1']
[5.073045969009399, '1']
[5.13568902015686, '1']
[5.186414003372192, '1']
[5.239818096160889, '1']
[5.286410093307495, '1']
[5.338076114654541, '1']
[5.387018918991089, '1']
[5.4379589557647705, '1']
[5.515460968017578, '1']
[5.541584014892578, '1']
[5.590322017669678, '1']
[5.606183052062988, '1']
[5.656791925430298, '1']
[5.675454139709473, '1']
[5.724056005477905, '1']
[5.741393089294434, '1']
[5.789366960525513, '1']
[5.807348966598511, '1']
[5.858999013900757, '1']
[5.87537407875061, '1']
[5.943817138671875, '1']
[5.96253514289856, '1']
[6.028587102890015, '1']
[6.045252084732056, '1']
[6.110506057739258, '1']
[6.1250081062316895, '1']
[6.17859411239624, '1']
[6.192347049713135, '1']
[6.2457969188690186, '3']
[6.259799003601074, '3']
[6.311398983001709, '3']
[6.324726104736328, '3']
[6.3792901039123535, '3']
[6.393185138702393, '3']
[6.446291923522949, '3']
[6.496065139770508, '3']
[6.546332120895386, '3']
[6.59640097618103, '3']
[6.647504091262817, '3']
[6.6979100704193115, '3']
[6.747776985168457, '3']
[6.798310995101929, '3']
[6.8456361293792725, '3']
[6.898498058319092, '3']
[6.949322938919067, '3']
[6.999109983444214, '3']
[7.049315929412842, '3']
[7.1040661334991455, '3']
[7.149430990219116, '3']
[7.199824094772339, '3']
[7.251130104064941, '3']
[7.300997018814087, '3']
[7.350974082946777, '3']
[7.401932001113892, '3']
[7.451174974441528, '3']
[7.5023109912872314, '3']
[7.551934003829956, '3']
[7.601614952087402, '3']
