[1509722994.04036, '0']
[1509722994.099704, '0']
[1509722994.164465, '0']
[1509722994.225998, '0']
[1509722994.290137, '0']
[1509722994.35877, '0']
[1509722994.423547, '0']
[1509722994.480199, '0']
[1509722994.540219, '0']
[1509722994.605798, '0']
[1509722994.663203, '0']
[1509722994.725078, '0']
[1509722994.811156, '0']
[1509722994.878032, '0']
[1509722994.940857, '0']
[1509722995.006904, '0']
[1509722995.07223, '0']
[1509722995.140417, '0']
[1509722995.203578, '0']
[1509722995.273513, '0']
[1509722995.333861, '0']
[1509722995.396691, '0']
[1509722995.45599, '0']
[1509722995.522682, '0']
[1509722995.590851, '0']
[1509722995.654938, '0']
[1509722995.722832, '0']
[1509722995.791269, '0']
[1509722995.857113, '0']
[1509722995.921677, '0']
[1509722995.988784, '0']
[1509722996.057089, '1']
[1509722996.122405, '1']
[1509722996.189357, '1']
[1509722996.248064, '1']
[1509722996.307725, '1']
[1509722996.364392, '1']
[1509722996.42357, '1']
[1509722996.49088, '1']
[1509722996.548212, '1']
[1509722996.607276, '1']
[1509722996.666129, '1']
[1509722996.728125, '1']
[1509722996.786637, '1']
[1509722996.853823, '1']
[1509722996.923463, '1']
[1509722996.987946, '1']
[1509722997.047371, '1']
[1509722997.108538, '1']
[1509722997.170744, '1']
[1509722997.238135, '1']
[1509722997.300116, '1']
[1509722997.373742, '1']
[1509722997.440064, '1']
[1509722997.50404, '1']
[1509722997.56475, '1']
[1509722997.639756, '1']
[1509722997.707043, '1']
[1509722997.770859, '1']
[1509722997.836706, '1']
[1509722997.899732, '1']
[1509722997.962367, '1']
[1509722998.023207, '1']
[1509722998.089922, '1']
[1509722998.154438, '1']
[1509722998.213726, '1']
[1509722998.273082, '1']
[1509722998.338863, '1']
[1509722998.396606, '1']
[1509722998.454257, '1']
[1509722998.519376, '1']
[1509722998.585665, '1']
[1509722998.641432, '2']
[1509722998.705784, '2']
[1509722998.764225, '2']
[1509722998.824948, '2']
[1509722998.88918, '2']
[1509722998.952945, '2']
[1509722999.01345, '2']
[1509722999.078725, '2']
[1509722999.137444, '2']
[1509722999.195725, '2']
[1509722999.256119, '2']
[1509722999.319723, '2']
[1509722999.378882, '2']
[1509722999.436378, '2']
[1509722999.494935, '2']
[1509722999.564881, '2']
[1509722999.627773, '2']
[1509722999.69788, '2']
[1509722999.757292, '2']
[1509722999.821018, '2']
[1509722999.879543, '2']
[1509722999.941538, '2']
[1509723000.010479, '2']
[1509723000.068693, '2']
[1509723000.133994, '2']
[1509723000.190378, '2']
[1509723000.253358, '2']
[1509723000.312978, '2']
[1509723000.384973, '2']
[1509723000.444805, '2']
[1509723000.505965, '2']
[1509723000.570757, '2']
[1509723000.634918, '2']
[1509723000.697276, '2']
[1509723000.756438, '2']
[1509723000.824101, '2']
[1509723000.889398, '2']
[1509723000.944614, '2']
[1509723001.006103, '2']
[1509723001.067701, '2']
[1509723001.126629, '2']
[1509723001.200531, '0']
[1509723001.26103, '0']
[1509723001.321241, '0']
[1509723001.380379, '0']
[1509723001.453731, '0']
[1509723001.518742, '0']
[1509723001.584093, '0']
[1509723001.652074, '0']
[1509723001.7178, '0']
[1509723001.787566, '0']
[1509723001.851514, '0']
[1509723001.911063, '0']
[1509723001.974349, '0']
[1509723002.038293, '0']
[1509723003.521632, '0']
[1509723003.584354, '0']
[1509723003.648658, '0']
[1509723003.707163, '0']
[1509723003.768322, '0']
[1509723003.826541, '0']
[1509723003.888037, '0']
[1509723003.948406, '0']
[1509723004.009318, '0']
[1509723004.069472, '0']
[1509723004.140005, '0']
[1509723004.200999, '0']
[1509723004.269023, '0']
[1509723004.335746, '0']
[1509723004.400625, '0']
[1509723004.470142, '0']
[1509723004.531965, '0']
[1509723004.598996, '0']
[1509723004.665528, '0']
[1509723004.733717, '0']
[1509723004.799635, '0']
